date,interval,timestamp,purchase_kwh,adjusted_purchase_kwh,load_kwh,pv_kwh,price_yuan_per_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh,alpha,gain,forecast_next_net_kwh
2025-02-03,75,2025-02-03 12:30:00,1044.6718444444443,789.1993207598749,1016.9696333333333,970.1857166666667,0.4113,742.415404093208,0.0,0.0,3.410605131648481e-13,9715.040934698769,10383.214798382656,0.0,0.0,39.20758405478927
2025-02-03,76,2025-02-03 12:40:00,1083.0134388888887,362.3812412399452,1042.71135,963.7200666666666,0.5682,283.38995790661204,0.0,1.1368683772161603e-13,0.0,10383.214798382656,10638.265760498607,0.0,0.0,107.49915535245573
2025-02-03,77,2025-02-03 12:50:00,309.4906166666665,104.71791753956518,1079.7466666666667,996.4125,0.8279,21.383750872899125,0.0,4.796163466380676e-13,0.0,10638.265760498607,10657.511136284216,0.0,0.0,103.80226779517298
2025-02-03,78,2025-02-03 13:00:00,295.48532777777757,182.78636953828664,1054.4313166666668,975.5898333333333,0.8636,103.94488620495395,0.0,6.821210263296962e-13,0.0,10657.511136284216,10751.061533868675,0.0,0.0,107.03296731526419
2025-02-03,79,2025-02-03 13:10:00,280.44636944444403,191.54909297031304,1058.88185,954.2882500000001,0.8416,54.3760734792502,0.0,0.0,32.579419491062914,10751.061533868675,10800.0,0.0,0.0,135.92312104805094
2025-02-03,80,2025-02-03 13:20:00,256.6431499999999,149.5548063243433,1086.8616666666667,952.96875,0.8618,0.0,0.0,0.0,15.661889657676511,10800.0,10800.0,0.0,0.0,169.36193176772852
2025-02-03,81,2025-02-03 13:30:00,310.4947444444447,176.0590218311321,1043.8305333333333,933.8155499999999,0.8623,0.0,0.0,0.0,66.04403849779874,10800.0,10800.0,0.0,0.0,183.28881973818335
2025-02-03,82,2025-02-03 13:40:00,377.33589722222223,0.0,1038.3026499999999,906.7374333333333,0.9026,0.0,131.56521666666615,3.694822225952521e-13,0.0,10800.0,10653.816425925927,0.0,0.0,207.43748824371158
2025-02-03,83,2025-02-03 13:50:00,0.0,0.0,1080.1766666666667,886.0187500000001,0.9754,0.0,194.1579166666661,5.684341886080801e-13,0.0,10653.816425925927,10438.085407407409,0.0,0.0,231.33293235695524
2025-02-03,84,2025-02-03 14:00:00,0.0,0.0,1067.1981166666667,875.0711,1.0002,0.0,192.12701666666598,7.105427357601002e-13,0.0,10438.085407407409,10224.610944444446,0.0,0.0,273.62178612109676
