variant,date,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,start_soc,end_soc,fallbacks
q2_cvar,2025-02-28,13607.085048500609,13607.085048500572,0.0,0.0,0.0,4.1404437212122496e-11,1.2313261521512686e-11,6711.506693177581,2380.0197407533865,1530.8561860058903,0
q2_cvar,2025-03-01,14022.728929456698,13841.585368534124,0.0,0.0,0.0,181.14356092257387,45.58673066957902,6542.708157014847,1530.8561860058903,1370.382323996913,0
q2_cvar,2025-03-02,63990.24698541398,49772.97422399197,0.0,0.0,0.0,14217.272761421998,2544.9392155752,1215.5468583809204,1370.382323996913,1882.688616024931,0
q2_cvar,2025-03-03,51418.481668320295,51418.48166832024,0.0,0.0,0.0,7.218537378950173e-11,1.7204904168011126e-11,607.6771770383045,1882.688616024931,1258.5637955167622,0
q2_cvar,2025-03-04,53357.61262352755,53357.61262352747,0.0,0.0,0.0,5.609742959045149e-11,1.364708346329735e-11,5620.5558485936335,1258.5637955167622,2190.986161082061,0
q2_cvar,2025-03-05,51195.82578678152,51195.82578678147,0.0,0.0,0.0,6.49751898951223e-11,1.7471801783131014e-11,8201.172616516762,2190.986161082061,2039.925820788349,0
q2_cvar,2025-03-06,49391.03019689239,49326.446311558975,0.0,0.0,0.0,64.58388533340384,33.63744027779471,5700.339752354475,2039.925820788349,1664.575699643777,0
q2_cvar,2025-03-07,13281.354399023468,13281.354399023436,0.0,0.0,0.0,3.180755930864976e-11,1.1583067838216719e-11,7820.765606900367,1664.575699643777,1668.7690175276437,0
q2_cvar,2025-03-08,15768.115531137972,12616.818678614394,0.0,0.0,0.0,3151.2968525235765,1127.64900733334,8859.864771587165,1668.7690175276437,1798.453452160487,0
q2_cvar,2025-03-09,44798.37574350394,44773.092403055314,0.0,0.0,0.0,25.28334044863785,12.8114215599755,1723.7366819010583,1798.453452160487,1967.411670393291,0
q2_cvar,2025-03-10,58791.03094343017,45500.174599150254,0.0,0.0,0.0,13290.85634427992,2333.24672277783,9.898970532162819e-12,1967.411670393291,1288.13318259259,0
q2_cvar,2025-03-11,46562.527470278124,46413.31604396182,0.0,0.0,0.0,149.21142631633623,54.09102431006132,3396.848576506884,1288.13318259259,1528.7416577932104,0
q2_cvar,2025-03-12,46454.59833701694,46088.83048582381,0.0,0.0,0.0,365.7678511931272,191.4472958333464,5757.604521514937,1528.7416577932104,1412.7106815522504,0
q2_cvar,2025-03-13,50386.4117092176,46477.378323069526,0.0,0.0,0.0,3909.033386148079,839.3508876553744,475.9841277777924,1412.7106815522504,1402.1213638888898,0
q2_cvar,2025-03-14,12496.00614414852,12465.47711791516,0.0,0.0,0.0,30.52902623335831,26.386366666674032,11096.221630842689,1402.1213638888898,1601.962821894909,0
q2_cvar,2025-03-15,12835.414351313791,12780.070553074718,0.0,0.0,0.0,55.34379823907586,22.822184840854494,7000.381861462061,1601.962821894909,1200.0,0
q2_cvar,2025-03-16,47099.49047301149,47092.87530693052,0.0,0.0,0.0,6.615166080997977,1.3424994583474117,3609.6714602484712,1200.0,3455.63890271844,0
q2_cvar,2025-03-17,43762.90734470894,43762.90734470889,0.0,0.0,0.0,8.101504497121104e-11,2.0538730438612877e-11,7299.951996294643,3455.63890271844,3471.6005389830184,0
q2_cvar,2025-03-18,43144.8834637314,43144.88346373136,0.0,0.0,0.0,6.389659668037949e-11,1.673283733794051e-11,2678.4942293210006,3471.6005389830184,3028.152872390825,0
q2_cvar,2025-03-19,42259.47869628242,42259.47869628238,0.0,0.0,0.0,4.2821604484544194e-11,1.1475709271735468e-11,3306.3348907002837,3028.152872390825,2903.6869027493926,0
q2_cvar,2025-03-20,42078.73705688641,42078.73705688636,0.0,0.0,0.0,6.926730750089759e-11,1.876077071472082e-11,413.27996590470406,2903.6869027493926,1714.0490225463848,0
q2_cvar,2025-03-21,12135.31152145778,12135.31152145776,0.0,0.0,0.0,2.101343055116445e-11,5.877076603155729e-12,14906.508956538506,1714.0490225463848,1242.220192247596,0
q2_cvar,2025-03-22,12689.380755438748,12689.380755438717,0.0,0.0,0.0,3.135953652311229e-11,1.0177192422133883e-11,11017.119529108948,1242.220192247596,2234.288034991205,0
q2_cvar,2025-03-23,41924.48553440392,41924.485534403895,0.0,0.0,0.0,3.6386837098945076e-11,1.014388573139513e-11,3996.07913303791,2234.288034991205,2396.6218721569003,0
q2_cvar,2025-03-24,40706.33895522272,40706.33895522266,0.0,0.0,0.0,6.086479478750739e-11,1.3524195652259152e-11,3877.9726197351183,2396.6218721569003,1940.1770928428236,0
