date,interval,load_kwh,pv_kwh,price,price_forecast_0,q0,q,charged_units,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh,variant
2025-09-23,66,1059.5224333333333,1297.46415,0.4409,0.477,641.7677817460315,641.7677817460315,641.7677817460315,833.3333333333333,0.0,0.0,46.37616507936491,4233.742011461641,4983.742011461641,q2_cvar
2025-09-23,67,1051.7829166666668,1368.281433333333,0.4252,0.5364,616.9374109126984,616.9374109126984,616.9374109126984,833.3333333333333,0.0,0.0,100.10259424603169,4983.742011461641,5733.742011461641,q2_cvar
2025-09-23,68,1071.92,1399.95625,0.4696,0.497,560.8860603174603,560.8860603174603,560.8860603174603,833.3333333333333,0.0,0.0,55.58897698412693,5733.742011461641,6483.742011461641,q2_cvar
2025-09-23,69,1100.6726166666667,1396.6131666666668,0.5048,0.4697,0.0,0.0,0.0,295.94054999999975,0.0,0.0,2.842170943040401e-13,6483.742011461641,6750.0885064616405,q2_cvar
2025-09-23,70,1061.9253666666666,1405.9018166666667,0.4546,0.4799,0.0,0.0,0.0,343.9764500000001,0.0,0.0,0.0,6750.0885064616405,7059.667311461641,q2_cvar
2025-09-23,71,982.2816666666666,1435.59375,0.3613,0.4849,576.3259894841265,576.3259894841265,576.3259894841265,833.3333333333333,0.0,0.0,196.30473948412669,7059.667311461641,7809.667311461641,q2_cvar
2025-09-23,72,969.2598833333332,1448.3985833333334,0.3481,0.4354,0.0,0.0,0.0,433.7029872648438,0.0,0.0,45.4357127351563,7809.667311461641,8200.0,q2_cvar
2025-09-23,73,988.3075333333333,1430.2115666666666,0.3859,0.4273,474.4122936507936,474.4122936507936,474.4122936507936,777.7777777777777,0.0,0.0,138.53854920634922,8200.0,8900.0,q2_cvar
2025-09-23,74,993.0716666666668,1414.08125,0.387,0.4537,505.46335793650815,505.46335793650815,505.46335793650815,777.7777777777777,0.0,0.0,148.69516349206367,8900.0,9600.0,q2_cvar
2025-09-23,75,980.4257666666668,1440.8882833333334,0.3271,0.4406,528.1729837301584,528.1729837301584,528.1729837301584,777.7777777777777,0.0,0.0,210.85772261904745,9600.0,10300.0,q2_cvar
2025-09-23,76,1015.2652,1424.4440000000002,0.4936,0.5886,302.3094942925718,302.3094942925718,302.3094942925718,444.44444444444446,0.0,0.0,267.0438498481276,10300.0,10700.0,q2_cvar
2025-09-23,77,1068.0883333333334,1355.85625,0.8213,0.8303,0.0,0.0,0.0,111.11111111111111,0.0,0.0,176.65680555555556,10700.0,10800.0,q2_cvar
2025-09-23,78,1042.2472166666666,1314.1581333333334,0.9285,0.8731,0.0,0.0,0.0,0.0,0.0,0.0,271.9109166666667,10800.0,10800.0,q2_cvar
2025-09-23,79,1013.4041833333334,1292.3498,0.8854,0.8669,0.0,0.0,0.0,0.0,0.0,0.0,278.9456166666665,10800.0,10800.0,q2_cvar
2025-09-23,80,1019.2716666666666,1267.88125,0.8377,0.8883,0.0,0.0,0.0,0.0,0.0,0.0,248.6095833333335,10800.0,10800.0,q2_cvar
2025-09-23,81,1026.9902333333332,1232.426416666667,0.8574,0.8634,6.177509126984205,6.177509126984205,6.177509126984205,0.0,0.0,0.0,211.61369246031768,10800.0,10800.0,q2_cvar
2025-09-23,82,1048.6416333333334,1204.69615,0.8948,0.8652,100.89286150793669,100.89286150793669,100.89286150793669,0.0,0.0,0.0,256.9473781746033,10800.0,10800.0,q2_cvar
2025-09-23,83,1068.255,1182.49375,0.9188,0.9035,0.0,0.0,0.0,0.0,0.0,0.0,114.23874999999998,10800.0,10800.0,q2_cvar
2025-09-23,84,1049.77675,1139.6694666666667,0.9422,0.911,0.0,0.0,0.0,0.0,0.0,0.0,89.89271666666673,10800.0,10800.0,q2_cvar
2025-09-23,85,1035.4709833333334,1065.57745,0.9638,0.9163,0.0,0.0,0.0,0.0,0.0,0.0,30.10646666666662,10800.0,10800.0,q2_cvar
2025-09-23,86,1039.4333333333334,975.675,1.0143,0.9703,0.0,0.0,0.0,0.0,63.75833333333376,0.0,4.334310688136611e-13,10800.0,10729.157407407409,q2_cvar
2025-09-23,87,1036.1879,898.9024333333333,1.099,1.0575,0.0,0.0,0.0,0.0,137.28546666666753,0.0,7.105427357601002e-13,10729.157407407409,10576.618,q2_cvar
2025-09-23,88,1034.3812666666663,831.80015,0.9913,0.9262,0.0,0.0,0.0,0.0,202.5811166666659,5.968558980384843e-13,0.0,10576.618,10351.52787037037,q2_cvar
2025-09-23,89,1043.78,793.6062499999999,0.7708,0.6846,1087.5785448412694,1087.5785448412694,1087.5785448412694,498.3023662551447,0.0,0.0,339.1024285861246,10351.52787037037,10800.0,q2_cvar
