date,plan_fee_yuan,emergency_fee_yuan,emergency_kwh,adjustment_abs_kwh,increase_fee_yuan,refund_yuan,decrease_penalty_yuan,base_plan_fee_yuan,final_contract_fee_yuan,bill_identity_error_yuan,total_fee_yuan,start_soc_kwh,end_soc_kwh,unused_kwh,conversion_loss_kwh
2025-04-18,12978.3984897525,331.54926896529093,151.04700877778436,481.05299532175957,352.3503562521815,-209.0051135054367,104.50255675271835,12730.550690253036,12756.445814249055,0.0,13309.947758717792,1686.661314520199,1843.8914395772986,16971.644435564263,2522.7358476351583
2025-04-19,13403.161131991585,1.6740306918450187e-11,4.3647307990113404e-12,1376.9838636330148,1136.1667288530562,-568.2770195119139,284.13850975595693,12551.132912894485,12740.300379284607,1.8189894035458565e-12,13403.161131991601,1843.8914395772986,1475.7684185501967,16948.146966840868,2512.494738306209
2025-04-20,34640.302837236755,3680.312749113691,852.1796885195852,2176.0708868663755,911.6331350731352,-735.2512413644993,367.62562068224963,34096.29532284587,33968.79950486346,0.0,38320.61558635045,1475.7684185501967,1614.5579126248913,994.1125146579913,3795.6071272752242
2025-04-21,33681.5616174254,927.2294255165707,167.5570266629214,7603.357766083196,334.27786953181356,-4071.10787875323,2035.553939376615,35382.83768727021,31534.581721538183,0.0,34608.79104294197,1614.5579126248913,1300.872799145912,656.2118972036575,3902.2590781850095
2025-04-22,35736.40843316976,188.39839280558823,49.29314306791899,5878.898408624895,3428.7631945926432,-1049.4247132381383,524.7123566190692,32832.35759519618,34068.77501168648,0.0,35924.80682597535,1300.872799145912,1578.7788808264074,511.222641371669,3635.7123818855343
2025-04-23,34932.32073086651,1806.104851111067,445.4337201410472,5554.472510781885,3964.0220457368277,-424.1019891131363,212.05099455656816,31180.34967968625,33398.92905439767,-7.275957614183426e-12,36738.42558197757,1578.7788808264074,1716.912065380758,728.8700731410701,3725.7830198904367
2025-04-24,33337.49503455418,6.027209376036069e-11,1.5428991417820725e-11,1833.0613169988549,1465.171280529575,-294.476878226425,147.2384391132125,32019.562193137815,32701.866168597775,0.0,33337.49503455424,1716.912065380758,1602.2480315274954,3081.875375721259,3816.2761561844504
2025-04-25,12326.484907135877,56.475414900719166,26.44885972222743,635.2743375669113,1.346776173923776,-604.8274822967752,302.4137411483876,12627.551872110342,12023.622240596182,0.0,12382.960322036595,1602.2480315274954,1354.4318474711556,20409.57054056928,2406.442502263182
2025-04-26,12781.64348290347,47.54111876877611,22.161051388894343,681.0870822343034,431.105126440114,-350.6580662005583,175.32903310027916,12525.867389563635,12462.61274098982,0.0,12829.184601672247,1354.4318474711556,1296.7110815006808,22891.023646242447,2424.7579279287124
2025-04-27,33953.23293521867,1084.973743738962,272.87771172847005,3862.1494476032894,2304.7032336167617,-1027.5903465792442,513.7951732896221,32162.32487489153,32671.20335072346,0.0,35038.206678957635,1296.7110815006808,1394.6795656327597,1462.5323861581003,3717.0118978569512
