date,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,start_soc,end_soc,fallbacks
2025-06-07,20423.90668829044,19287.416171837962,1935.304280895558,1597.6275288862162,798.8137644431081,3.729121236806243e-11,1.129046856007676e-11,1879.5488500229144,1960.2311401539844,2251.891515969315,0
2025-06-08,50586.407329995054,49485.9416331485,2000.6825331068867,1800.433672520804,900.216836260402,8.830233921841568e-11,2.0533352795837345e-11,1316.3426245408853,2251.891515969315,2542.1418603400753,0
2025-06-09,55101.73479768177,57008.437921273755,7.909695943659875,3829.225639071518,1914.612819535759,8.487746672170005e-11,1.9654278204939146e-11,666.6850433292174,2542.1418603400753,2142.503349082893,0
2025-06-10,59644.280819992644,60851.96524381568,1188.0066739033225,4791.382195452747,2395.6910977263733,3.918201341157612e-11,9.205303186377023e-12,4588.22549557111,2142.503349082893,3592.0713048480534,0
2025-06-11,63824.61090595604,65418.392381639416,705.3543527040757,4598.271656774961,2299.1358283874806,4.993362079375174e-11,1.1722178783202253e-11,3740.0880514229752,3592.0713048480534,4492.043542049505,0
2025-06-12,58204.00030183761,60815.389796798445,60.11026018901154,5342.99951029988,2671.49975514994,7.924106326662183e-11,1.9311774401842285e-11,2568.310157133588,4492.043542049505,3884.766945952399,0
2025-06-13,21611.599970326482,21751.313841615112,1512.950754580464,3305.3292517382347,1652.6646258691173,2.1034767261340903e-11,6.1095573045122364e-12,6903.141685277812,3884.766945952399,3602.5098674397937,0
2025-06-14,21124.81206593715,22459.22721889169,0.0,2668.8303059091145,1334.4151529545572,1.9542438778330508e-11,6.298961352513288e-12,8363.515701513103,3602.5098674397937,3299.4981562863222,0
2025-06-15,57936.05602302378,55532.228135637655,4246.18645196501,3684.7171291578697,1842.3585645789349,5.4335242971603746e-11,1.2802203741557605e-11,3429.0527355204954,3299.4981562863222,3700.5960832497153,0
2025-06-16,58785.532038493686,58317.98479006139,2695.364966070157,4455.635435275817,2227.8177176379086,5.342697240173777e-11,1.0806577854793886e-11,2368.091713171264,3700.5960832497153,3475.7171605013805,0
2025-06-17,61589.558737552536,59242.33006113308,5046.32178602229,5398.186219205819,2699.0931096029094,6.698886623190958e-11,1.5703882638717914e-11,2144.3257602641715,3475.7171605013805,3234.2027283036537,0
2025-06-18,61272.35461188783,60012.85784361363,5193.170526056725,7954.042124532901,3977.0210622664504,43.34730448394218,6.410900611398322,4551.9475426515955,3234.2027283036537,3412.5450014637704,0
2025-06-19,55543.47641227351,54379.07730934289,2945.3569583680633,4021.500083818538,2010.750041909269,229.79218647183177,33.3169815249148,3835.6569190661257,3412.5450014637704,3099.0379922744837,0
2025-06-20,19834.909995428654,21224.648845927324,98.42273647715294,2976.323173951701,1488.1615869758505,2.149530997641591e-11,5.624833931960893e-12,10856.317697484088,3099.0379922744837,3173.8072526813335,0
2025-06-21,19642.324935953417,20831.198149337994,37.511263819392525,2452.7689544079803,1226.3844772039902,1.6923994872186653e-11,4.583444734862496e-12,13966.225322276678,3173.8072526813335,3696.154242360103,0
2025-06-22,54857.77834624037,52947.89623119231,4567.71315626089,5315.662082425746,2657.831041212873,5.057902630056788e-11,1.2513989844364914e-11,2650.432354856509,3696.154242360103,3093.573601870222,0
2025-06-23,53959.38455152036,54718.70751190394,1928.9627059835786,5376.571332734421,2688.2856663672105,8.938176110362406e-11,2.1149748619109232e-11,2284.443629322506,3093.573601870222,3186.5740165861625,0
2025-06-24,61845.05426417888,64269.00530535806,1.6261765267699958e-13,4847.902082358541,2423.9510411792703,7.489592262696632e-11,1.794859399995019e-11,1975.764079092359,3186.5740165861625,3874.6130457697773,0
2025-06-25,55911.7202352737,53857.50980469899,4025.0566085774876,3941.6923560056243,1970.8461780028122,6.255755913286976e-11,1.47182266374557e-11,2992.655258152315,3874.6130457697773,3117.6224908112795,0
2025-06-26,54192.581733636835,52386.40639173582,3669.2441847387727,3831.5322470398787,1915.7661235199394,52.6972806821994,7.524420744234717,3617.702745758459,3117.6224908112795,3277.3812616930372,0
2025-06-27,18813.460988842562,20225.925757705336,0.0,2824.929537725594,1412.464768862797,2.0365649611164827e-11,6.830092047493963e-12,12731.32082963644,3277.3812616930372,3472.2658814053084,0
