date,total_cost_yuan_new,total_cost_yuan_baseline,saving_yuan
2025-07-03,70970.44910191736,64767.04821422124,-6203.400887696116
2025-07-04,32871.305929195034,36989.83439992735,4118.528470732315
2025-07-05,38557.89876495058,42867.38679456391,4309.488029613327
2025-07-06,93830.21470061397,81838.02838490906,-11992.186315704908
2025-07-07,51914.55986743903,53972.14818607743,2057.5883186384017
2025-07-08,62690.98158829624,63229.13798387542,538.1563955791789
2025-07-09,61337.89880473138,61674.746124228805,336.84731949742127
2025-07-10,58813.55771157989,59537.82408413041,724.266372550519
2025-07-11,32023.662336156274,31233.710210578178,-789.9521255780965
2025-07-12,31566.152439683163,30593.22219388428,-972.9302457988815
2025-07-13,56220.65425824798,57144.924982157856,924.2707239098745
2025-07-14,54794.97067102594,55572.293743391936,777.3230723659944
2025-07-15,54967.99770610242,55475.11094667744,507.113240575025
2025-07-16,53872.94092945182,54401.40854098201,528.4676115301918
2025-07-17,51155.35254623687,51890.22749604069,734.874949803816
2025-07-18,28443.337325546847,27602.26698421475,-841.0703413320953
2025-07-19,31075.492039405442,30256.90383729391,-818.5882021115322
2025-07-20,53463.0369970999,54439.76022281887,976.723225718968
2025-07-21,54481.11866904479,55401.87251032075,920.7538412759604
2025-07-22,53521.56402568215,54352.03073821109,830.4667125289416
2025-07-23,52838.6388282703,54979.643488486,2141.0046602157017
2025-07-24,50497.32969727515,52359.78366042802,1862.4539631528678
2025-07-25,28484.1798161764,27046.546137502504,-1437.6336786738975
2025-07-26,31696.362062603566,30441.335517991683,-1255.0265446118829
2025-07-27,59201.1856404136,55692.2866012867,-3508.8990391268962
2025-07-28,66592.52654112349,54215.82139375988,-12376.70514736361
2025-07-29,60017.68259678592,55871.68121792087,-4146.001378865047
2025-07-30,52369.00406544867,55438.462335838856,3069.4582703901833
2025-07-31,49670.84132633021,51992.24732403045,2321.40599770024
2025-08-01,26924.245372594483,25813.099893017046,-1111.145479577437
2025-08-02,25204.637612903272,28031.391033500357,2826.753420597084
2025-08-03,52392.110925161855,52906.78119724668,514.6702720848261
2025-08-04,49920.36046602334,50967.680374935095,1047.3199089117552
2025-08-05,47342.17774997864,49439.61751977861,2097.4397697999666
2025-08-06,52375.4492385749,50787.69324632809,-1587.7559922468135
