date,evaluation,start_soc_kwh,end_soc_kwh,solver_status,solver_gap,planner_fallback,solve_seconds,controller_seconds,integer_pairs,refinement_rounds,purchase_kwh,emergency_kwh,unused_kwh,charge_kwh,discharge_kwh,conversion_loss_kwh,total_energy_waste_kwh,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-08-29,True,3438.5186674566303,3501.489940448105,Optimal,7.859789543082368e-06,False,2.971005699990201,0.21497000000090338,2016,5,40257.71794361879,8.249179117569838e-12,14899.301427469143,14455.37905503854,11652.18288888889,2740.2248931581753,17639.52632062732,23989.649688921043,3.6459965935264906e-11,23989.64968892108
2025-08-30,True,3501.489940448105,7873.043572671954,Optimal,0.00011708926151628744,False,4.136557300007553,0.2588287999969907,2016,5,45281.14150251517,180.39977678309938,19401.01369263325,19017.94465436962,11470.13690103793,3176.2541211078433,22577.26781374109,25900.18969032519,389.72201025332794,26289.91170057852
2025-08-31,True,7873.043572671954,8783.596288398496,Optimal,0.0004126338365978874,False,1.9805682000005618,0.23586669999349397,17,4,74358.14729301549,1.627564749639987e-11,2896.1724200617537,21030.81234456065,16215.46055494024,3904.7990738938697,6800.971493955623,47312.772393383835,6.018444353994568e-11,47312.77239338389
2025-09-01,True,8783.596288398496,10800.0,Optimal,0.0003012281516781167,False,2.054068000012194,0.22128430000157095,14,4,71994.15232097569,9.343636975245317e-12,13157.191257879373,18147.700996429652,12884.874466666664,3246.4228181614835,16403.614076040856,46042.25539764379,3.883680932403877e-11,46042.25539764383
2025-09-02,True,10800.0,10800.0,Optimal,0.0004837953711335439,False,1.5388919999968493,0.2156610000092769,16,3,70227.13682934252,5.801581437481218e-12,12727.981136553972,18112.63075151871,14671.230908730158,3441.399842788556,16169.380979342526,45263.12864317306,2.5573672957079908e-11,45263.12864317309
2025-09-03,True,10800.0,10800.0,Optimal,0.0005691235045125508,False,1.9683271999965655,0.2284722999902442,16,4,70085.12197969633,6.891376358453272e-12,11453.358575424338,16231.82186458946,13147.775710317463,3084.0461542719977,14537.404729696336,45239.07149832585,3.1271908618180075e-11,45239.07149832588
2025-09-04,True,10800.0,7232.216583654061,Optimal,4.152164450724523e-05,False,3.275747699997737,0.23778360000869725,2016,5,64863.968430464316,7.435829729729448e-12,11463.679320336087,14135.413867576746,14660.69030744851,3042.506976474176,14506.186296810263,43308.596727847165,2.8842805477324874e-11,43308.596727847194
2025-09-05,True,7232.216583654061,7256.87910196649,Optimal,9.665790857611968e-06,False,3.118976900004782,0.2335315999953309,2016,5,36367.485631557516,6.181721801112872e-12,26950.681344784156,13528.138703292181,10935.59608318548,2567.8801017942715,29518.561446578427,22194.550381784975,2.3782980917985698e-11,22194.550381785
2025-09-06,True,7256.87910196649,9881.79429122134,Optimal,0.00016257700178141018,False,4.197292000011657,0.25886659999378026,2016,5,37062.917984126005,8.779643678735738e-12,23479.445542851274,18420.86879444934,12558.480053174602,3237.47355201989,26716.919094871162,21004.31326261627,2.814914012994052e-11,21004.3132626163
2025-09-07,True,9881.79429122134,10115.606138868978,Optimal,0.0003458274949578723,False,4.898772100001224,0.28132670000195503,2016,5,62991.90486363276,1.7770118709847793e-11,4020.2062595977513,20001.496444660475,15990.781457292112,3776.903139720727,7797.109399318478,40164.715620126786,5.817438314403845e-11,40164.715620126844
