timestamp,date,interval_start,interval_end,evaluation,price_yuan_per_kwh,predicted_load_kwh,predicted_pv_kwh,load_kwh,pv_kwh,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,conversion_loss_kwh,total_energy_waste_kwh,soc_start_kwh,soc_end_kwh,plan_cost_yuan,emergency_cost_yuan,solver_status,planner_fallback,dispatch_fallback
2025-08-08 05:10:00,2025-08-08,05:10,05:20,True,0.4439,561.8946833333333,6.946011111111112,456.42751666666663,6.2854,511.57706369047605,61.4349470238095,0.0,9.947598300641403e-14,0.0,6.1434947023809485,6.1434947023809485,3554.731330355217,3610.0227826766454,227.08905857220233,2.2078694428273593e-13,Optimal,False,False
2025-08-08 05:20:00,2025-08-08,05:20,05:30,True,0.4301,503.49499999999995,33.29791666666666,487.84999999999997,31.05,475.9418533730157,0.0,0.0,0.0,19.14185337301575,0.0,19.14185337301575,3610.0227826766454,3610.0227826766454,204.70259113573405,0.0,Optimal,False,False
2025-08-08 05:30:00,2025-08-08,05:30,05:40,True,0.3713,480.0583833333333,70.76997777777778,484.70958333333334,67.64035,1229.7960613095238,711.0857970259495,0.0,0.0,101.64103095024086,71.10857970259494,172.7496106528358,3610.0227826766454,4250.0,456.6232775642262,0.0,Optimal,False,False
2025-08-08 05:40:00,2025-08-08,05:40,05:50,True,0.5708,494.83958333333334,111.71768333333334,487.8971166666667,105.6426,0.0,0.0,382.2545166666668,0.0,1.1368683772161603e-13,42.47272407407411,42.47272407407422,4250.0,3825.272759259259,0.0,0.0,Optimal,False,False
2025-08-08 05:50:00,2025-08-08,05:50,06:00,True,0.9099,514.07,155.92291666666668,501.10999999999996,145.275,0.0,0.0,355.83500000000004,0.0,1.1368683772161603e-13,39.53722222222224,39.537222222222354,3825.272759259259,3429.900537037037,0.0,0.0,Optimal,False,False
2025-08-08 06:00:00,2025-08-08,06:00,06:10,True,0.9368,503.8292166666667,207.11162777777778,485.13193333333334,192.65509999999998,0.0,0.0,292.47683333333333,5.684341886080802e-14,0.0,32.49742592592594,32.49742592592594,3429.900537037037,3104.9262777777776,0.0,2.6625457394402475e-13,Optimal,False,False
2025-08-08 06:10:00,2025-08-08,06:10,06:20,True,0.8758,504.0569666666667,254.56714444444447,481.3177,230.79639999999998,0.0,0.0,250.52129999999997,5.684341886080802e-14,0.0,27.83570000000001,27.83570000000001,3104.9262777777776,2826.5692777777776,0.0,2.489173311914783e-13,Optimal,False,False
2025-08-08 06:20:00,2025-08-08,06:20,06:30,True,0.8759,512.0116666666667,297.80833333333334,500.1666666666667,264.50624999999997,0.0,0.0,235.66041666666666,5.684341886080802e-14,0.0,26.184490740740753,26.184490740740753,2826.5692777777776,2564.7243703703703,0.0,2.489457529009087e-13,Optimal,False,False
2025-08-08 06:30:00,2025-08-08,06:30,06:40,True,0.8601,491.58863333333335,346.06175,514.6732333333333,315.71745,0.0,0.0,198.9557833333332,1.4210854715202004e-13,0.0,22.10619814814814,22.10619814814814,2564.7243703703703,2343.662388888889,0.0,6.111378070272621e-13,Optimal,False,False
2025-08-08 06:40:00,2025-08-08,06:40,06:50,True,0.8442,513.7486333333333,392.5655611111111,551.6902833333334,365.5297333333333,0.0,0.0,186.16054999999997,8.526512829121202e-14,0.0,20.68450555555556,20.68450555555556,2343.662388888889,2136.8173333333334,0.0,3.5990410651720595e-13,Optimal,False,False
2025-08-08 06:50:00,2025-08-08,06:50,07:00,True,0.8334,565.0616666666666,446.98541666666665,585.8883333333333,418.0,0.0,0.0,167.8883333333334,0.0,8.526512829121202e-14,18.654259259259277,18.654259259259362,2136.8173333333334,1950.2747407407408,0.0,0.0,Optimal,False,False
2025-08-08 07:00:00,2025-08-08,07:00,07:10,True,0.8092,561.2992666666667,524.8430111111112,562.9295333333333,494.96183333333335,0.0,0.0,67.96769999999992,5.684341886080802e-14,0.0,7.551966666666662,7.551966666666662,1950.2747407407408,1874.7550740740742,0.0,2.2998847271082924e-13,Optimal,False,False
2025-08-08 07:10:00,2025-08-08,07:10,07:20,True,0.7972,576.7232666666666,585.1298722222223,571.6465166666667,557.7497333333333,0.0,0.0,13.89678333333343,0.0,6.927791673660977e-14,1.5440870370370483,1.5440870370371176,1874.7550740740742,1859.3142037037037,0.0,0.0,Optimal,False,False
2025-08-08 07:20:00,2025-08-08,07:20,07:30,True,0.7644,598.0933333333334,626.0812500000001,608.7016666666667,603.9250000000001,0.0,0.0,4.776666666666734,0.0,9.14823772291129e-14,0.5307407407407484,0.5307407407408399,1859.3142037037037,1854.0067962962962,0.0,0.0,Optimal,False,False
2025-08-08 07:30:00,2025-08-08,07:30,07:40,True,0.6899,540.0004833333334,684.2735444444446,581.7473,664.2809666666667,0.0,0.0,0.0,0.0,82.5336666666667,0.0,82.5336666666667,1854.0067962962962,1854.0067962962962,0.0,0.0,Optimal,False,False
2025-08-08 07:40:00,2025-08-08,07:40,07:50,True,0.86,534.5311,736.4316166666667,554.6855666666667,698.7939666666666,0.0,0.0,0.0,0.0,144.10839999999996,0.0,144.10839999999996,1854.0067962962962,1854.0067962962962,0.0,0.0,Optimal,False,False
2025-08-08 07:50:00,2025-08-08,07:50,08:00,True,1.1617,604.7416666666667,770.8854166666666,575.6616666666666,720.44375,0.0,0.0,0.0,0.0,144.7820833333334,0.0,144.7820833333334,1854.0067962962962,1854.0067962962962,0.0,0.0,Optimal,False,False
2025-08-08 08:00:00,2025-08-08,08:00,08:10,True,1.1683,633.9620833333333,802.9606944444445,622.06925,787.1410166666666,0.0,0.0,0.0,0.0,165.07176666666658,0.0,165.07176666666658,1854.0067962962962,1854.0067962962962,0.0,0.0,Optimal,False,False
