date,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,start_soc,end_soc,fallbacks
2025-05-12,40157.68193637591,40157.681936375855,0.0,0,0.0,5.356691634705868e-11,1.2979506358590243e-11,8519.27071719431,1873.0677021836857,2211.8715793650777,0
2025-05-13,39157.00121154605,39157.00121154604,0.0,0,0.0,3.916023350036824e-11,1.013900075008678e-11,6073.658421325256,2211.8715793650777,2401.0895237034497,0
2025-05-14,38817.618105202135,38817.6181052021,0.0,0,0.0,4.4951977473672856e-11,1.0513812043200232e-11,6725.12906796929,2401.0895237034497,1971.791228827643,0
2025-05-15,39821.66467146937,39821.66467146932,0.0,0,0.0,5.604104774681318e-11,1.377242764277753e-11,5411.984893097973,1971.791228827643,3097.713896451931,0
2025-05-16,11944.436940392525,11944.436940392501,0.0,0,0.0,2.0921578025578922e-11,5.994760243765995e-12,22743.13036489801,3097.713896451931,2307.109388527337,0
2025-05-17,12160.239335527309,12160.239335527285,0.0,0,0.0,2.9838034570905945e-11,7.869177531816263e-12,14805.664949860085,2307.109388527337,2121.539079285718,0
2025-05-18,38552.1617127042,38552.16171270414,0.0,0,0.0,4.312557874697198e-11,1.2392586956622154e-11,3244.399566646181,2121.539079285718,2675.0434279652477,0
2025-05-19,38095.373029694914,38095.37302969489,0.0,0,0.0,3.352015487401161e-11,9.600986672353429e-12,9414.943493539758,2675.0434279652477,2847.2793366297674,0
2025-05-20,37795.87085988545,37795.87085988541,0.0,0,0.0,4.664145913935158e-11,1.3283818489639998e-11,2167.3557320278123,2847.2793366297674,2349.1445292688304,0
2025-05-21,38386.207382209046,38386.207382209,0.0,0,0.0,5.828257210183096e-11,1.3591350267461166e-11,5882.980440389338,2349.1445292688304,2579.7829627910037,0
2025-05-22,38276.96902828439,38276.969028284366,0.0,0,0.0,3.234253731498882e-11,9.851008897499014e-12,4860.677720011483,2579.7829627910037,3906.4414891457573,0
2025-05-23,11873.893002980629,11873.893002980603,0.0,0,0.0,2.3807326332558886e-11,6.059597268404104e-12,18094.97955408922,3906.4414891457573,3292.858358935716,0
2025-05-24,12701.29129952092,12701.291299520903,0.0,0,0.0,1.742259314596595e-11,4.235722883549897e-12,21079.061219702242,3292.858358935716,3465.173365655636,0
2025-05-25,37845.855112093464,37845.85511209343,0.0,0,0.0,3.5206959347888755e-11,1.0027090269204564e-11,7181.83196446209,3465.173365655636,3796.4226909220897,0
2025-05-26,37162.38389007757,37162.38389007753,0.0,0,0.0,4.8956050768822477e-11,1.2660095194405585e-11,664.3048744495032,3796.4226909220897,3288.862897884442,0
2025-05-27,36886.01366976515,36828.89779489844,0.0,0,0.0,57.11587486670811,29.88013333334543,5126.577595191836,3288.862897884442,3532.736484329702,0
2025-05-28,36995.98208234711,36907.243949013726,0.0,0,0.0,88.73813333339432,43.32916666668146,953.7494811287613,3532.736484329702,3986.6704133231283,0
2025-05-29,37474.03572734787,36947.09199436655,0.0,0,0.0,526.943732981308,106.19172676058442,2.0296428571656833,3986.6704133231283,3294.820703759515,0
2025-05-30,12661.069072444196,12661.06907244417,0.0,0,0.0,2.8339439683833232e-11,9.14468500923249e-12,17980.513648677257,3294.820703759515,3680.443258942204,0
2025-05-31,12645.629014193162,12087.397428409342,0.0,0,0.0,558.2315857838173,197.92388885010416,16171.549018261912,3680.443258942204,3826.83738404259,0
2025-06-01,108530.7012277908,40913.814255686855,0.0,0,0.0,67616.88697210394,12462.469933071374,14.552111904766132,3826.83738404259,1571.1215945370368,0
2025-06-02,82940.98231765578,43368.954254579396,0.0,0,0.0,39572.02806307644,7866.492090964395,27.139276190485994,1571.1215945370368,1234.9135273148145,0
2025-06-03,57379.22692933205,49868.48386343529,0.0,0,0.0,7510.743065896754,1437.6145993722903,1635.922249207336,1234.9135273148145,1640.2946882630156,0
2025-06-04,55293.70728945939,55206.17961213851,0.0,0,0.0,87.52767732087557,12.349575000010372,6418.675959244574,1640.2946882630156,1582.3926587931921,0
2025-06-05,55917.526564700966,55737.04367134259,0.0,0,0.0,180.48289335838732,25.946991666680432,4058.7978408607833,1582.3926587931921,1678.2292888473444,0
2025-06-06,26248.837512849237,18498.33542736726,0.0,0,0.0,7750.5020854819895,1365.7684964072716,4861.362768481712,1678.2292888473444,1221.4515,0
2025-06-07,19658.51052904715,19538.7187602507,0.0,0,0.0,119.79176879644776,21.62696674426304,3323.263293865557,1221.4515,1574.5648137962978,0
2025-06-08,61734.898113365016,61734.898113364965,0.0,0,0.0,5.923016477282773e-11,1.2288614570366008e-11,13588.602052767284,1574.5648137962978,6433.385556819026,0
2025-06-09,58564.98489045704,58564.984890456966,0.0,0,0.0,5.970794358933773e-11,1.3975709478586396e-11,5045.189611823671,6433.385556819026,5970.745984668087,0
2025-06-10,65106.74464405986,65106.744644059814,0.0,0,0.0,4.560124233776719e-11,1.1092460283634864e-11,10800.838915836424,5970.745984668087,8572.931698559592,0
2025-06-11,63374.290935139135,63374.290935139055,0.0,0,0.0,8.447607324768569e-11,1.9898305225751756e-11,3630.6759732975884,8572.931698559592,9100.38695815335,0
2025-06-12,64381.8016403759,64381.80164037584,0.0,0,0.0,8.987485788924943e-11,2.0904500352969535e-11,8686.286517554849,9100.38695815335,9566.984461080678,0
2025-06-13,21824.495058415818,21824.495058415796,0.0,0,0.0,2.927568321098306e-11,9.809042467168183e-12,10967.862143796989,9566.984461080678,5497.679335632584,0
2025-06-14,24045.74897932075,24045.748979320728,0.0,0,0.0,1.607356781008207e-11,6.033396005022951e-12,14458.977092020039,5497.679335632584,5180.351195522576,0
2025-06-15,64738.54587262001,64738.545872619965,0.0,0,0.0,5.4129583482165346e-11,1.1780798558902461e-11,10320.503722509815,5180.351195522576,8876.664887281635,0
2025-06-16,62902.82378057955,62902.82378057947,0.0,0,0.0,8.499520784410741e-11,2.0382084908732168e-11,7370.575208189367,8876.664887281635,8970.78702731262,0
2025-06-17,61787.079547540714,61787.07954754059,0.0,0,0.0,9.981550563864517e-11,2.3436363960627205e-11,3701.6805498971476,8970.78702731262,9055.856446105114,0
2025-06-18,63590.15180636307,63590.15180636298,0.0,0,0.0,7.738455615191597e-11,1.5972223543769815e-11,10748.667055084421,9055.856446105114,8694.25164929233,0
2025-06-19,62878.64951129353,62878.649511293464,0.0,0,0.0,6.224831672341224e-11,1.6912693467929785e-11,12797.774416842112,8694.25164929233,8743.036210275659,0
2025-06-20,20344.39427754895,20344.394277548923,0.0,0,0.0,2.836859946953041e-11,8.955947095046213e-12,14383.989690952423,8743.036210275659,5217.8049245496395,0
2025-06-21,21134.730689799962,21134.73068979994,0.0,0,0.0,2.764522744058695e-11,7.58504370423907e-12,16696.41010477648,5217.8049245496395,5772.675891071431,0
2025-06-22,59365.12763213858,59365.12763213851,0.0,0,0.0,6.212043190956251e-11,1.5357493055034865e-11,7552.354087800105,5772.675891071431,8822.682202790631,0
2025-06-23,57990.748415035305,57990.74841503522,0.0,0,0.0,7.834119752914148e-11,1.8319568084734783e-11,8453.6291852097,8822.682202790631,8324.223179230601,0
2025-06-24,59073.780639130026,59073.78063912998,0.0,0,0.0,4.7815256642991243e-11,1.1889156326105876e-11,1563.173237387558,8324.223179230601,5010.652798664284,0
2025-06-25,62052.789819499856,62052.789819499754,0.0,0,0.0,8.926002692533075e-11,2.177857894025692e-11,6980.340343713688,5010.652798664284,9305.911408004862,0
