date,evaluation,start_soc_kwh,end_soc_kwh,solver_status,planner_fallback,solver_gap,solve_seconds,controller_seconds,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,plan_cost_yuan,emergency_cost_yuan,dispatch_fallback,total_cost_yuan
2025-04-25,True,2775.1893676851864,2588.672584232805,Optimal,False,0.0,0.16210050000518095,0.039694300008704886,25402.552425235153,12910.995308215754,10625.771304761904,4.690470234436361e-12,21116.970771781307,12339.83548187665,2.1493256063820355e-11,0,12339.835481876671
2025-04-26,True,2588.672584232805,8300.719396481478,Optimal,False,0.0,0.10182050000003073,0.04022479998820927,31934.834599926515,19251.358284465015,10452.758079392857,293.97095275000373,23360.011714271026,15070.793095832674,1101.2799322360713,0,16172.073028068746
2025-04-27,True,8300.719396481478,7843.335693055556,Optimal,False,0.0,0.07920900000317488,0.04165410000132397,52206.18652034098,17412.200627880666,14515.527841666672,3048.036609523817,3784.079160317472,31156.443759616417,11994.850834741324,0,43151.29459435774
2025-04-28,True,7843.335693055556,7931.656375462963,Optimal,False,0.0,0.08583929999440443,0.04035120000480674,52519.12936208113,13649.213572619048,10976.374379654762,6909.703916597451,134.02676904762686,31332.839111469206,36941.045454562154,0,68273.88456603137
2025-04-29,True,7931.656375462963,8222.348378108467,Optimal,False,0.0,0.08820149999519344,0.040183200006140396,53808.42196394768,17089.32575524691,13580.731059369045,2074.807113367588,4941.420664770739,32099.829782273777,7452.9787878116385,0,39552.80857008541
2025-04-30,True,8222.348378108467,7899.8795617592605,Optimal,False,0.0,0.07924849999835715,0.03962520000641234,52976.499330496765,16746.03812823339,13854.512818583333,1362.2691540357307,3190.388741549106,31745.12340629207,4475.252586665575,0,36220.37599295765
2025-05-01,True,7899.8795617592605,1502.801328121693,Optimal,False,0.0,0.08226999999897089,0.04017339998972602,46355.783295987654,10790.24075709876,14497.465423523807,4902.253201476201,3953.8823638889,28985.575724609007,23300.33480952627,0,52285.91053413528
2025-05-02,True,1502.801328121693,1700.5933917857144,Optimal,False,0.0,0.07761579999350943,0.04133130000263918,25969.871223750735,13761.63761303645,10968.913609261905,2987.9166097857224,11874.74374642858,12527.754701486814,16675.886744272197,0,29203.64144575901
2025-05-03,True,1700.5933917857144,7545.810913425925,Optimal,False,0.0,0.08603420000872575,0.04114629999094177,32264.433667107583,19586.373021546147,10604.266377976192,2167.89356130953,16583.048934847153,15242.295997345025,11309.52813333753,0,26551.824130682555
2025-05-04,True,7545.810913425925,7939.5037438888885,Optimal,False,0.0,0.08067379999556579,0.040565500006778166,55576.742448059966,16514.77287746914,13022.642483333335,3735.7247000000148,4085.6694205908466,32822.50179169067,17440.933241946488,0,50263.43503363716
2025-05-05,True,7939.5037438888885,7998.2527830555555,Optimal,False,0.0,0.08160539998789318,0.03984650000347756,55707.38323493533,15851.310780055848,12786.687596595239,6566.936549833347,4133.689801308066,32870.75516426141,30169.631912126275,0,63040.38707638769
2025-05-06,True,7998.2527830555555,7545.082463558204,Optimal,False,0.0,0.08566280000377446,0.04154230000858661,54350.44280408584,16215.892912022342,13542.726546285714,5634.807529904768,4442.0016015873125,32340.731369400866,25311.773926807786,0,57652.50529620865
