date,plan_fee_yuan,emergency_fee_yuan,emergency_kwh,adjustment_abs_kwh,increase_fee_yuan,refund_yuan,decrease_penalty_yuan,base_plan_fee_yuan,final_contract_fee_yuan,bill_identity_error_yuan,total_fee_yuan,start_soc_kwh,end_soc_kwh,unused_kwh,conversion_loss_kwh
2025-08-12,49556.45013434693,3.8119626344368385e-11,1.0350664769731566e-11,4851.095523345171,429.4714739982442,-2599.493203425075,1299.7466017125375,50426.72526206122,48113.54637463497,7.275957614183426e-12,49556.45013434697,1869.2841691211672,2121.824911661483,3333.17606050895,3671.428549997905
2025-08-13,46054.47368165872,2370.5980314167296,621.0965333333479,836.1061711418957,591.6769323957587,-67.90945832805586,33.95472916402793,45496.75147842699,45823.29330836277,0.0,48425.07171307545,2121.824911661483,2208.094620458956,2441.845692440007,3475.995410481955
2025-08-14,48161.673895752734,408.15802971114715,103.21179722223356,6061.967000232688,2426.41021395862,-1711.9204297371195,855.9602148685598,46591.223896662676,46496.9102762313,0.0,48569.831925463885,2208.094620458956,1905.3314464623434,2867.364296812195,3815.052351747723
2025-08-15,24503.259479861335,2.330213910717305e-11,6.04749583743569e-12,2992.435882439647,100.53032758874994,-2472.4412168668687,1236.2206084334343,25638.94976070602,23233.528762231654,-3.637978807091713e-12,24503.259479861357,1905.3314464623434,2066.2148242216035,19462.160220220972,2604.8914418291
2025-08-16,25153.190301026152,1.0091394892714305,0.4751127538882489,4771.731664522399,64.20530353923917,-4011.298520602929,2005.6492603014644,27094.63425778838,23126.139272878278,-3.637978807091713e-12,25154.199440515422,2066.2148242216035,1930.6047434184945,19504.600281467803,2504.243127446425
2025-08-17,46973.47188840105,314.29051930907696,46.67606944445959,7401.867753285342,581.9419051758958,-3989.135654090368,1994.567827045184,48386.09781027034,44784.92342629723,0.0,47287.76240771013,1930.6047434184945,1834.5264994966055,2961.066838576083,3640.065812854361
2025-08-18,47122.402050166915,173.1661103806085,25.658977777791556,4281.10480148212,97.71006497208371,-2852.6705550825236,1426.3352775412618,48451.02726273609,45663.49675096829,0.0,47295.568160547526,1834.5264994966055,2167.0525459987625,2158.850224221433,3639.983898653876
2025-08-19,46182.31210615512,6.170373173519649e-11,1.7340684443922783e-11,2842.9026953260313,516.7533601745955,-1900.4751887694167,950.2375943847084,46615.79634036523,45059.82339171221,0.0,46182.31210615518,2167.0525459987625,1868.9010938991312,2121.0346558955266,3662.9998123282776
2025-08-20,49874.33823270601,43.71134566257562,6.469525000020246,5524.460998130318,840.9962902057358,-2796.2696670463138,1398.1348335231569,50431.476776023424,48195.871302447595,1.4551915228366852e-11,49918.049578368584,1868.9010938991312,1778.9337970269783,1650.6367686302171,4013.7096887363837
2025-08-21,47552.282268294286,79.82041031254978,37.031041666680174,6894.602704494605,1238.3935947541563,-3130.6098197408514,1565.3049098704257,47879.19358341055,45574.179493505806,0.0,47632.10267860683,1778.9337970269783,1639.8167174074038,1746.0745024856183,3576.027547434033
2025-08-22,23656.264063018956,226.1836749766269,53.18500276167862,603.834370146946,173.13726067504479,-341.8074609306206,170.9037304653103,23654.03053280922,23427.647912328634,-3.637978807091713e-12,23882.447737995582,1639.8167174074038,1435.4612662499999,15865.966583093288,2626.4654266082066
2025-08-23,24147.09363626407,382.32343401669334,177.98288333334003,1609.6933384409645,1863.9415679628491,-218.12843152837502,109.06421576418751,22392.216284065405,23416.715564512262,3.637978807091713e-12,24529.417070280764,1435.4612662499999,1653.495092253086,14430.192809133661,2596.4679733564376
2025-08-24,46904.87665528787,4.504421058371122e-11,1.198241506017439e-11,3867.777729543628,1976.7060339241953,-1400.481639861877,700.2408199309385,45628.41144129462,45545.733824048875,-7.275957614183426e-12,46904.87665528792,1653.495092253086,2105.7216948894998,1722.492276998392,3969.0348695868397
2025-08-25,54358.81332763177,286.93863738915786,44.46614270526307,15143.902607107826,643.5558709633648,-9743.513309590744,4871.756654795372,58587.01411146377,49272.53804918194,0.0,54645.75196502093,2105.7216948894998,1878.7880896142005,3326.0796183127745,3927.3629738994523
2025-08-26,47463.326383311556,7.015956393630063e-11,1.8880896845985262e-11,4147.392108745381,1833.3621734951776,-1418.4506403213063,709.2253201606532,46339.18952997703,46142.98033865252,-7.275957614183426e-12,47463.32638331163,1878.7880896142005,2140.8411132286237,1828.8787586231663,3945.4161940652293
2025-08-27,51696.65045293556,4.67709484475165e-11,1.3492540418269527e-11,9884.065379156562,5494.665892373715,-2339.2557849243585,1169.6278924621793,47371.61245302403,48695.467263015475,0.0,51696.6504529356,2140.8411132286237,1768.708084164505,4048.46217250654,3621.286280132794
2025-08-28,51467.67354905519,5.443458028775439e-11,1.454640574660715e-11,6085.926528066486,5793.415181743683,-233.81724104043263,116.90862052021632,45791.16698783172,49419.62653462041,0.0,51467.67354905524,1768.708084164505,2068.1033147232506,2307.641477651173,3980.162991486868
2025-08-29,24797.33244842224,3.027687289769432e-11,7.9782846995613e-12,2690.6454555333794,715.3488052319269,-2032.0129630934935,1016.0064815467467,25097.990124737058,23542.876365131517,0.0,24797.33244842227,2068.1033147232506,1571.5602534299878,14905.383113415994,2801.4605622066156
