date,total_cost_yuan_new,total_cost_yuan_baseline,saving_yuan
2025-03-09,46066.100517235136,44177.67023100343,-1888.4302862317054
2025-03-10,50199.899888026994,65015.30634447571,14815.40645644872
2025-03-11,44983.815168584464,47178.073019237374,2194.25785065291
2025-03-12,44758.38141738611,44383.67712237204,-374.7042950140676
2025-03-13,51632.93658368101,69533.44336964507,17900.506785964062
2025-03-14,16429.530825256385,21800.81625980729,5371.285434550904
2025-03-15,16399.458713772423,20635.49012908661,4236.031415314188
2025-03-16,44745.74336152492,49490.43700868391,4744.693647158994
2025-03-17,43719.14259558414,41787.93023161975,-1931.2123639643905
2025-03-18,47051.69184545277,57175.8790910429,10124.187245590132
2025-03-19,44754.03499658229,41978.72486660444,-2775.31012997785
2025-03-20,42105.73917815446,51970.78517906361,9865.046000909155
2025-03-21,15688.42578620134,18079.341000147702,2390.915213946362
2025-03-22,16341.168472874857,26173.028370039807,9831.85989716495
2025-03-23,41875.468039663145,43192.25760818759,1316.789568524444
2025-03-24,41281.800281163676,48978.40858397055,7696.608302806875
2025-03-25,42965.37799958616,53285.86061308073,10320.482613494569
2025-03-26,40824.87135575983,41705.2500478455,880.3786920856655
2025-03-27,40728.48451499746,53921.2819360329,13192.797421035444
2025-03-28,15653.027010571685,16101.847450518148,448.820439946463
2025-03-29,15024.561254139217,17069.16984430608,2044.6085901668648
2025-03-30,39056.458809815456,46238.07582935885,7181.617019543395
2025-03-31,39464.031949015196,53607.93077457158,14143.898825556382
2025-04-01,42212.02015712316,48529.29773215746,6317.277575034299
2025-04-02,50382.58625349196,52247.69608341176,1865.1098299198056
2025-04-03,41615.971763704336,46958.35679418658,5342.385030482241
2025-04-04,14799.912465947074,15213.546720573686,413.63425462661144
2025-04-05,14820.780977755705,33066.297335981806,18245.5163582261
2025-04-06,39457.35311029113,40477.93609028318,1020.5829799920539
2025-04-07,39216.99302402461,42023.16709911122,2806.1740750866084
2025-04-08,38789.96521122836,45629.55247445959,6839.587263231231
2025-04-09,38906.79513517299,61747.16006217593,22840.364927002935
2025-04-10,38509.485615009,41530.38222055296,3020.8966055439596
2025-04-11,14380.22807409978,16699.055021201562,2318.826947101783
2025-04-12,14567.980314659957,25129.41750047424,10561.437185814282
2025-04-13,38736.20124339539,42956.95612111841,4220.754877723019
2025-04-14,37783.16541689675,37153.4315207171,-629.7338961796486
2025-04-15,37347.05565776149,43972.22454820659,6625.1688904451
2025-04-16,38848.678613244236,60082.89859101621,21234.219977771972
2025-04-17,36797.727268997616,38533.67099853885,1735.9437295412354
2025-04-18,13819.589601734438,14216.997294897204,397.407693162766
