date,evaluation,start_soc_kwh,end_soc_kwh,solver_status,planner_fallback,solver_gap,solver_objective,terminal_penalty_yuan,solve_seconds,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,plan_cost_yuan,emergency_cost_yuan,dispatch_fallback,total_cost_yuan
2025-05-13,True,1200.0,1200.0,Optimal,False,0.0,36205.87034525907,1980.2666666666667,0.06072219999623485,55710.70013786007,16896.536404526738,13686.194487666662,2127.6689456666695,1498.814399999999,34225.6036785924,10300.551781041848,0,44526.15545963425
2025-05-14,True,1200.0,1241.90975925926,Optimal,False,0.0,36898.23068876301,1980.2666666666667,0.056062999996356666,57643.743610288075,18357.712273045265,14832.028157833334,975.696375499997,2079.607087242804,34917.96402209634,4032.982454110318,0,38950.94647620666
2025-05-15,True,1241.90975925926,1436.7526666666683,Optimal,False,0.0,36293.2329753763,1980.2666666666667,0.05508669999835547,56411.47507119341,18476.347574279836,14790.482918499996,2209.2115481666697,2169.7636802469124,34312.96630870963,8950.237738864524,0,43263.20404757415
2025-05-16,True,1436.7526666666683,1200.0,Optimal,False,0.0,15819.214975466608,1980.2666666666667,0.04473829999915324,26569.479448971193,11789.706234567899,9762.739450000001,860.9608833333298,22687.967014403293,13838.948308799942,2101.232855074978,0,15940.18116387492
2025-05-17,True,1200.0,1200.0,Optimal,False,0.0,15518.773655153615,1980.2666666666667,0.04682400000456255,26461.61040462963,9491.388139300412,7688.024392833334,3562.7961321666644,17772.243706995883,13538.506988486948,18752.180149327734,0,32290.687137814683
2025-05-18,True,1200.0,1236.617092592594,Optimal,False,0.0,38090.311866778764,1980.2666666666667,0.044669499999145046,59283.91793868313,17265.056087654324,13951.740047666666,1929.6490023333324,4224.082801028804,36110.0452001121,8328.574796025998,0,44438.6199961381
2025-05-19,True,1236.617092592594,1200.0,Optimal,False,0.0,36170.391899362425,1980.2666666666667,0.0565472000016598,57046.23419691358,17952.399219547326,14574.398751166666,1112.350982166667,7265.368160699588,34190.12523269576,4817.280914312001,0,39007.406147007765
2025-05-20,True,1200.0,1200.0,Optimal,False,0.0,33964.746612617986,1980.2666666666667,0.06308609999541659,51711.977784979426,12533.341056995887,10152.00625616667,6480.685027166665,1283.9331946502036,31984.479945951316,38334.90003424991,0,70319.37998020122
2025-05-21,True,1200.0,1200.0,Optimal,False,0.0,37015.66624070294,1980.2666666666667,0.057348499991348945,58159.07906995885,17385.804688477365,14082.501797666662,1029.0550023333344,4522.215898148145,35035.39957403627,3782.866730417668,0,38818.266304453944
2025-05-22,True,1200.0,1200.0,Optimal,False,0.0,35216.05832595144,1980.2666666666667,0.0440256000001682,53975.67325246913,16742.981029835388,13561.814634166669,1870.6866158333323,1848.5626559670795,33235.79165928477,9137.84961964183,0,42373.641278926596
2025-05-23,True,1200.0,1200.0,Optimal,False,0.0,15563.374338914877,1980.2666666666667,0.04525429999921471,26388.553875720165,10787.754234567903,8738.08093,1858.9802866666657,19776.911974485596,13583.10767224821,9104.059519643077,0,22687.167191891287
2025-05-24,True,1200.0,1241.0476296296313,Optimal,False,0.0,15816.87557154803,1980.2666666666667,0.0416626000078395,26779.42806707819,11988.148189300413,9673.457166666665,469.0118833333313,21179.247544444443,13836.608904881363,1319.6009870416556,0,15156.20989192302
2025-05-25,True,1241.0476296296313,1200.0,Optimal,False,0.0,34300.70194534555,1980.2666666666667,0.05561890000535641,53292.1559201646,17237.852236008228,13999.603177833334,1357.1528721666662,2866.049550823041,32320.435278678888,6109.728420346997,0,38430.163699025885
2025-05-26,True,1200.0,1200.0,Optimal,False,0.0,33918.998552183126,1980.2666666666667,0.03849399999307934,51571.3364627572,12689.957029423873,10278.865193833337,6171.683739499996,752.0954166666653,31938.731885516463,35824.32914758164,0,67763.0610330981
2025-05-27,True,1200.0,1200.0,Optimal,False,0.0,37531.12315999556,1980.2666666666667,0.04437430000689346,59141.122619753085,17007.95820987654,13776.44615,731.1053499999989,7250.348609876544,35550.85649332889,2141.1677495249896,0,37692.02424285388
2025-05-28,True,1200.0,1200.0,Optimal,False,0.0,34427.20676182274,1980.2666666666667,0.04411729999992531,52968.52597633745,16239.687459670778,13154.146842333337,2959.560857666662,568.7221166666659,32446.94009515607,15544.103134288138,0,47991.04322944421
